age_plot,age_group,broad_archetype_tuned,player_seasons,players,upgrade_rate,same_rate,downgrade_rate,reduced_role_rate,exit_rate,gap_return_rate,avg_rank_change,small_cell
22,22 and under,Complete,4,3,0,0.5,0.5,0,0,0,-0.75,TRUE
22,22 and under,Contact/discipline-based,46,41,0.15217391304347827,0.43478260869565216,0.21739130434782608,0.043478260869565216,0.15217391304347827,0.043478260869565216,-0.2702702702702704,FALSE
22,22 and under,Low offensive profile,40,33,0.375,0.4,0,0.025,0.2,0.05,1.096774193548387,FALSE
22,22 and under,Middle-profile,15,14,0.4666666666666667,0.26666666666666666,0,0.06666666666666667,0.2,0.13333333333333333,1.0909090909090908,FALSE
22,22 and under,Power-based,53,44,0.09433962264150944,0.49056603773584906,0.1509433962264151,0.05660377358490566,0.20754716981132076,0.07547169811320754,-0.2820512820512821,FALSE
23,23,Complete,9,9,0,0.3333333333333333,0.5555555555555556,0,0.1111111111111111,0,-1,TRUE
23,23,Contact/discipline-based,62,62,0.12903225806451613,0.45161290322580644,0.20967741935483872,0.03225806451612903,0.1774193548387097,0.016129032258064516,-0.26530612244897955,FALSE
23,23,Low offensive profile,52,52,0.4230769230769231,0.3269230769230769,0,0.11538461538461539,0.1346153846153846,0.057692307692307696,1.230769230769231,FALSE
23,23,Middle-profile,23,23,0.34782608695652173,0.13043478260869565,0.2608695652173913,0.13043478260869565,0.13043478260869565,0,0.47058823529411753,FALSE
23,23,Power-based,51,51,0.0196078431372549,0.6078431372549019,0.21568627450980393,0,0.1568627450980392,0.058823529411764705,-0.5348837209302325,FALSE
24,24,Complete,14,14,0,0.35714285714285715,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857142,-1,FALSE
24,24,Contact/discipline-based,86,86,0.09302325581395349,0.5930232558139535,0.10465116279069768,0.06976744186046512,0.13953488372093023,0.06976744186046512,-0.04411764705882361,FALSE
24,24,Low offensive profile,101,101,0.42574257425742573,0.3564356435643564,0,0.1188118811881188,0.09900990099009901,0.09900990099009901,1.240506329113924,FALSE
24,24,Middle-profile,35,35,0.37142857142857144,0.17142857142857143,0.14285714285714285,0.02857142857142857,0.2857142857142857,0.02857142857142857,0.5416666666666667,FALSE
24,24,Power-based,121,121,0.04132231404958678,0.47107438016528924,0.32231404958677684,0.024793388429752067,0.14049586776859505,0.024793388429752067,-0.7623762376237626,FALSE
25,25,Complete,16,16,0,0.5,0.4375,0,0.0625,0,-0.7333333333333333,FALSE
25,25,Contact/discipline-based,145,145,0.10344827586206896,0.5103448275862069,0.15172413793103448,0.05517241379310345,0.1793103448275862,0.041379310344827586,-0.1261261261261262,FALSE
25,25,Low offensive profile,117,117,0.3418803418803419,0.3162393162393162,0,0.1794871794871795,0.1623931623931624,0.06837606837606838,1.1298701298701297,FALSE
25,25,Middle-profile,55,55,0.4727272727272727,0.2727272727272727,0.07272727272727272,0.05454545454545454,0.12727272727272726,0.03636363636363636,0.7555555555555555,FALSE
25,25,Power-based,135,135,0.05925925925925926,0.4962962962962963,0.28888888888888886,0.044444444444444446,0.1111111111111111,0.02962962962962963,-0.6228070175438597,FALSE
26,26,Complete,28,28,0,0.2857142857142857,0.5714285714285714,0,0.14285714285714285,0.03571428571428571,-1.3333333333333335,FALSE
26,26,Contact/discipline-based,169,169,0.0650887573964497,0.5384615384615384,0.14201183431952663,0.07100591715976332,0.1834319526627219,0.04142011834319527,-0.17460317460317454,FALSE
26,26,Low offensive profile,139,139,0.31654676258992803,0.34532374100719426,0,0.14388489208633093,0.19424460431654678,0.050359712230215826,1.173913043478261,FALSE
26,26,Middle-profile,69,69,0.3188405797101449,0.15942028985507245,0.2608695652173913,0.043478260869565216,0.21739130434782608,0.043478260869565216,0.3333333333333335,FALSE
26,26,Power-based,137,137,0.051094890510948905,0.5328467153284672,0.24087591240875914,0.051094890510948905,0.12408759124087591,0.021897810218978103,-0.6283185840707963,FALSE
27,27,Complete,19,19,0,0.3157894736842105,0.6842105263157895,0,0,0,-1.0526315789473684,FALSE
27,27,Contact/discipline-based,162,162,0.09876543209876543,0.5246913580246914,0.1419753086419753,0.05555555555555555,0.17901234567901234,0.037037037037037035,-0.14516129032258063,FALSE
27,27,Low offensive profile,143,143,0.3356643356643357,0.26573426573426573,0,0.16083916083916083,0.23776223776223776,0.04895104895104895,1.1860465116279069,FALSE
27,27,Middle-profile,60,60,0.31666666666666665,0.11666666666666667,0.2,0.11666666666666667,0.25,0.03333333333333333,0.3421052631578948,FALSE
27,27,Power-based,156,156,0.05128205128205128,0.4423076923076923,0.3076923076923077,0.057692307692307696,0.14102564102564102,0.03205128205128205,-0.8480000000000001,FALSE
28,28,Complete,20,20,0,0.3,0.65,0,0.05,0,-1,FALSE
28,28,Contact/discipline-based,163,163,0.09202453987730061,0.4723926380368098,0.10429447852760736,0.08588957055214724,0.24539877300613497,0.049079754601226995,-0.05504587155963293,FALSE
28,28,Low offensive profile,130,130,0.3384615384615385,0.2692307692307692,0,0.1,0.2923076923076923,0.05384615384615385,1.2405063291139242,FALSE
28,28,Middle-profile,61,61,0.29508196721311475,0.16393442622950818,0.14754098360655737,0.14754098360655737,0.2459016393442623,0.04918032786885246,0.43243243243243246,FALSE
28,28,Power-based,147,147,0.04081632653061224,0.5102040816326531,0.25170068027210885,0.047619047619047616,0.14965986394557823,0.027210884353741496,-0.6525423728813559,FALSE
29,29,Complete,22,22,0,0.4090909090909091,0.4090909090909091,0.045454545454545456,0.13636363636363635,0,-0.6666666666666667,FALSE
29,29,Contact/discipline-based,146,146,0.0684931506849315,0.4383561643835616,0.15753424657534246,0.1095890410958904,0.22602739726027396,0.06164383561643835,-0.2164948453608247,FALSE
29,29,Low offensive profile,97,97,0.3402061855670103,0.26804123711340205,0,0.09278350515463918,0.29896907216494845,0.05154639175257732,1.152542372881356,FALSE
29,29,Middle-profile,50,50,0.2,0.18,0.2,0.14,0.28,0.06,0.10344827586206898,FALSE
29,29,Power-based,139,139,0.02158273381294964,0.5467625899280576,0.18705035971223022,0.09352517985611511,0.1510791366906475,0.02158273381294964,-0.48571428571428565,FALSE
30,30,Complete,20,20,0,0.25,0.5,0,0.25,0,-1,FALSE
30,30,Contact/discipline-based,115,115,0.10434782608695652,0.5130434782608696,0.16521739130434782,0.034782608695652174,0.1826086956521739,0.008695652173913044,-0.17777777777777776,FALSE
30,30,Low offensive profile,79,79,0.3924050632911392,0.21518987341772153,0,0.16455696202531644,0.22784810126582278,0.06329113924050633,1.375,FALSE
30,30,Middle-profile,40,40,0.325,0.15,0.2,0.125,0.2,0.05,0.4814814814814815,FALSE
30,30,Power-based,115,115,0.06086956521739131,0.5652173913043478,0.20869565217391303,0.043478260869565216,0.12173913043478261,0.017391304347826087,-0.45833333333333315,FALSE
31,31,Complete,19,19,0,0.3157894736842105,0.5263157894736842,0,0.15789473684210525,0.05263157894736842,-1.1875,FALSE
31,31,Contact/discipline-based,118,118,0.059322033898305086,0.5677966101694916,0.1016949152542373,0.0423728813559322,0.2288135593220339,0.00847457627118644,-0.0813953488372093,FALSE
31,31,Low offensive profile,65,65,0.24615384615384617,0.3076923076923077,0,0.15384615384615385,0.2923076923076923,0.015384615384615385,0.8611111111111112,FALSE
31,31,Middle-profile,35,35,0.5142857142857142,0.14285714285714285,0.14285714285714285,0.05714285714285714,0.14285714285714285,0,0.7857142857142858,FALSE
31,31,Power-based,105,105,0.05714285714285714,0.3619047619047619,0.3238095238095238,0.08571428571428572,0.17142857142857143,0,-0.9615384615384615,FALSE
32,32,Complete,16,16,0,0.1875,0.6875,0,0.125,0,-1.4285714285714284,FALSE
32,32,Contact/discipline-based,123,123,0.06504065040650407,0.5203252032520326,0.11382113821138211,0.0975609756097561,0.2032520325203252,0.032520325203252036,-0.1511627906976744,FALSE
32,32,Low offensive profile,61,61,0.21311475409836064,0.32786885245901637,0,0.19672131147540983,0.26229508196721313,0.04918032786885246,0.8787878787878788,FALSE
32,32,Middle-profile,34,34,0.2647058823529412,0.2647058823529412,0.11764705882352941,0.14705882352941177,0.20588235294117646,0,0.40909090909090906,FALSE
32,32,Power-based,78,78,0.01282051282051282,0.44871794871794873,0.2948717948717949,0.038461538461538464,0.20512820512820512,0,-0.8135593220338984,FALSE
33,33,Complete,7,7,0,0.2857142857142857,0.7142857142857143,0,0,0,-1.1428571428571428,TRUE
33,33,Contact/discipline-based,95,95,0.05263157894736842,0.47368421052631576,0.11578947368421053,0.09473684210526316,0.2631578947368421,0.021052631578947368,-0.19672131147540986,FALSE
33,33,Low offensive profile,49,49,0.2857142857142857,0.2653061224489796,0,0.08163265306122448,0.3673469387755102,0.04081632653061224,1.1481481481481481,FALSE
33,33,Middle-profile,28,28,0.35714285714285715,0.25,0.14285714285714285,0.10714285714285714,0.14285714285714285,0,0.5238095238095238,FALSE
33,33,Power-based,63,63,0.06349206349206349,0.47619047619047616,0.2698412698412698,0.047619047619047616,0.14285714285714285,0.047619047619047616,-0.5490196078431374,FALSE
34,34,Complete,10,10,0,0.2,0.5,0,0.3,0,-1.5714285714285714,FALSE
34,34,Contact/discipline-based,74,74,0.06756756756756757,0.47297297297297297,0.05405405405405406,0.05405405405405406,0.35135135135135137,0.013513513513513514,0.022727272727272773,FALSE
34,34,Low offensive profile,37,37,0.16216216216216217,0.13513513513513514,0,0.08108108108108109,0.6216216216216216,0,1,FALSE
34,34,Middle-profile,18,18,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0,0.5,FALSE
